"Manufacturing Wizard","معالج التصنيع"
"Operational Mode","نمط العمل التشغيلي"
"Create New Cycle","إنشاء دورة ووصفة جديدة"
"Update Existing BOM","تعديل وتحديث وصفة سابقة"
"Track & Execute Work Order","متابعة وتشغيل أمر الإنتاج"
"Select Existing BOM to Update","اختر قائمة المواد لتعديلها"
"Select Work Order to Track","اختر أمر الإنتاج للمتابعة الميدانية"
"Step 1: Finished Product Definition","الخطوة 1: تعريف المنتج التام"
"Finished Item","الصنف التام"
"Batch Quantity","كمية التشغيلة"
"Stock UOM","وحدة القياس المخزنية"
"Routing (Optional Template)","مسار الإنتاج (قالب اختياري)"
"Step 2: Raw Materials & By-Product Scrap","الخطوة 2: الخامات المباشرة ومتبقيات التشغيل"
"Raw Materials","الخامات المباشرة"
"Total Raw Material Cost","إجمالي تكلفة الخامات"
"By-Products & Recovered Scrap (e.g., Egg Yolks)","المتبقيات المستردة والمواد الثانوية (مثل صفار البيض)"
"Scrap & By-Product Items","أصناف المتبقيات والمواد المستردة"
"Total Scrap Deducted Value","إجمالي القيمة المستردة المخصومة"
"Step 3: Workstations & Machines","الخطوة 3: الماكينات ومراكز العمل"
"Operations & Workstations","العمليات والماكينات"
"Total Operating Cost","إجمالي تكلفة التشغيل والماكينات"
"Step 4: Quality Inspection Parameters","الخطوة 4: ضوابط ومعايير الجودة"
"Enable Quality Inspection","تفعيل ضوابط فحص الجودة"
"Quality Inspection Template","قالب فحص الجودة"
"Mandatory Inspection Before Finished Goods Receipt","فحص إلزامي قبل استلام المنتج التام"
"Mandatory Inspection on Raw Materials Transfer","فحص إلزامي عند صرف المواد الخام"
"Step 5: Costing Summary & Launch","الخطوة 5: ملخص التكاليف والإطلاق"
"Total Calculated Cost","إجمالي التكلفة المحتسبة"
"Unit Cost","تكلفة الوحدة الواحدة"
"Generated BOM","قائمة المواد الناتجة (BOM)"
"Generated Work Order","أمر الإنتاج الناتج"
"Work Order Live Operations Center","قمرة المتابعة والعمليات الميدانية لأمر الإنتاج"
"Manufacturing Wizard Item","صنف خامات المعالج"
"Manufacturing Wizard Scrap","صنف متبقيات المعالج"
"Manufacturing Wizard Operation","عملية وماكينة المعالج"
"Operation Time (Mins)","زمن العملية (بالدقائق)"
"Hour Rate","تكلفة الساعة"
"Operating Cost","تكلفة التشغيل"
"Valuation Rate","سعر التقييم"
"Deducted Amount","المبلغ المخصوم"
"Need assistance? Click the interactive tour button to explore the 3 operational modes, raw materials, by-product scrap recovery, and real-time execution.","هل تحتاج إلى مساعدة؟ اضغط على زر الجولة الإرشادية للتعرف على أنماط العمل الثلاثة، إدارة الخامات، استرداد صفار البيض، والمتابعة اللحظية."
"Start Interactive Tour","بدء الجولة الإرشادية"
"Manufacturing Wizard Guide","دليل معالج التصنيع"
"Operational Modes","أنماط العمل التشغيلية"
"Choose Create New Cycle to build a fresh BOM and Work Order, Update Existing BOM to revise recipes, or Track & Execute Work Order for live floor monitoring.","اختر إنشاء دورة جديدة لبناء وصفة وأمر إنتاج من الصفر، أو تعديل وصفة سابقة لتحديث المقادير، أو متابعة أمر إنتاج للمراقبة الميدانية الحية."
"Raw Materials & Scrap","الخامات المباشرة والمتبقيات"
"Define components in Step 2. Use the Scrap table for recovered by-products (such as egg yolks) to automatically credit and reduce your cake unit cost.","حدد المكونات في الخطوة 2. استخدم جدول المتبقيات للمواد المستردة (مثل صفار البيض) لخصم قيمتها تلقائياً وتخفيض تكلفة وحدة المنتج التام."
"Workstations & Machines","الماكينات ومراكز العمل"
"Assign machines and operation durations in Step 3 to compute accurate electricity and labor overheads.","حدد الماكينات وزمن التشغيل بالدقائق في الخطوة 3 لحساب تكاليف الكهرباء والتشغيل بدقة."
"Quality Inspections","فحوصات الجودة"
"Define mandatory inspection checkpoints in Step 4 to ensure production compliance.","حدد نقاط الفحص الإلزامية في الخطوة 4 لضمان مطابقة الإنتاج للمواصفات."
"Execution & Cockpit","التنفيذ وقمرة العمليات"
"In Step 5 or Tracker Mode, launch cycles and execute material transfers and receipts with a single click.","في الخطوة 5 أو نمط المتابعة، أطلق الدورات وصرف الخامات واستلم المنتج التام بنقرة واحدة."
"Interactive User Guidance","الدليل الإرشادي التفاعلي"
"Please select a Work Order above to load the live operational cockpit.","يرجى اختيار أمر إنتاج من الأعلى لعرض قمرة التشغيل اللحظية."
"Item Definition","تعريف المنتج"
"Materials & Scrap","الخامات والمتبقيات"
"Workstations","الماكينات"
"Quality","الجودة"
"Cost & Launch","التكلفة والإطلاق"
"Previous Step","الخطوة السابقة"
"Next Step","الخطوة التالية"
"Update & Submit BOM Revision","تحديث واعتماد نسخة الوصفة"
"Launch Production Cycle","إطلاق دورة الإنتاج"
"Loading BOM Data...","جاري سحب بيانات قائمة المواد..."
"BOM {0} loaded successfully.","تم سحب بيانات قائمة المواد {0} بنجاح."
"Are you sure you want to validate and launch this production cycle?","هل أنت متأكد من رغبتك في اعتماد وإطلاق دورة الإنتاج هذه؟"
"Creating BOM and Work Order...","جاري إنشاء قائمة المواد وأمر الإنتاج..."
"BOM Created","تم إنشاء قائمة المواد"
"Work Order Created","تم إنشاء أمر الإنتاج"
"Cycle Launched Successfully","تم إطلاق دورة الإنتاج بنجاح"
"Are you sure you want to submit a new BOM revision?","هل أنت متأكد من رغبتك في اعتماد نسخة جديدة من قائمة المواد؟"
"Updating BOM Revision...","جاري تحديث قائمة المواد..."
"BOM Updated Successfully","تم تحديث قائمة المواد بنجاح"
"Work Order","أمر الإنتاج"
"Planned Quantity","الكمية المخططة"
"Produced Quantity","الكمية المنتجة"
"Material Transfer Status","حالة صرف ونقل الخامات"
"Item Code","رمز الصنف"
"Required Qty","الكمية المطلوبة"
"Transferred Qty","الكمية المنقولة"
"Workstations & Job Cards","الماكينات وبطاقات العمل"
"Job Card","بطاقة العمل"
"Operation","العملية"
"Workstation","مركز العمل"
"Completed Qty","الكمية المكتملة"
"Status","الحالة"
"No job cards created for this work order.","لا توجد بطاقات عمل منشأة لأمر الإنتاج هذا."
